"chain","co_owned","date","hrsopen","observation","open","sheet","status","emptot","time","treated"
"roys","yes",1992-11-12,15,"November 1992",7,289,"answered 2nd interview",10,1,1
"wendys","no",1992-11-13,11.5,"November 1992",10.5,290,"answered 2nd interview",13.5,1,1
"wendys","no",1992-11-13,11.5,"November 1992",10.5,291,"answered 2nd interview",16,1,1
"wendys","no",1992-11-13,16,"November 1992",7,292,"answered 2nd interview",23.5,1,1
"bk","no",1992-12-15,18,"November 1992",6,295,"answered 2nd interview",NA,1,1
"bk","yes",1992-11-17,16,"November 1992",7,297,"answered 2nd interview",34,1,1
"roys","yes",1992-11-16,16,"November 1992",7,303,"answered 2nd interview",32.5,1,1
"roys","no",1992-11-12,24,"November 1992",0,304,"answered 2nd interview",21.5,1,1
"roys","yes",1992-11-17,18,"November 1992",6,305,"answered 2nd interview",20,1,1
"roys","yes",1992-11-18,24,"November 1992",0,307,"answered 2nd interview",43.5,1,1
"wendys","no",1992-11-13,11.5,"November 1992",10.5,310,"answered 2nd interview",17.5,1,1
"bk","no",1992-11-09,10,"November 1992",9,312,"answered 2nd interview",7,1,1
"bk","no",1992-11-09,15,"November 1992",7,313,"answered 2nd interview",NA,1,1
"bk","no",1992-11-09,16,"November 1992",6,314,"answered 2nd interview",22,1,1
"bk","yes",1992-11-16,16,"November 1992",7,316,"answered 2nd interview",22,1,1
"bk","no",1992-11-17,10.5,"November 1992",8,317,"answered 2nd interview",7,1,1
"kfc","no",1992-11-12,11.5,"November 1992",10.5,318,"answered 2nd interview",14,1,1
"kfc","no",1992-11-12,11.5,"November 1992",10.5,319,"answered 2nd interview",27,1,1
"roys","yes",1992-11-16,15,"November 1992",7,322,"answered 2nd interview",18.5,1,1
"roys","yes",1992-11-16,15,"November 1992",7,325,"answered 2nd interview",11.5,1,1
"bk","no",1992-11-09,15,"November 1992",7,333,"answered 2nd interview",16,1,1
"bk","no",1992-11-09,16,"November 1992",6,336,"answered 2nd interview",25,1,1
"bk","yes",1992-11-09,17,"November 1992",7,337,"answered 2nd interview",30.5,1,1
"bk","yes",1992-11-16,16,"November 1992",7,339,"answered 2nd interview",11.5,1,1
"bk","no",1992-11-16,16,"November 1992",6,340,"answered 2nd interview",25.5,1,1
"kfc","yes",1992-11-14,11,"November 1992",11,341,"answered 2nd interview",9.5,1,1
"kfc","yes",1992-11-18,12,"November 1992",11,343,"answered 2nd interview",11.5,1,1
"kfc","yes",1992-11-12,11,"November 1992",11,346,"answered 2nd interview",12,1,1
"roys","yes",1992-12-18,NA,"November 1992",NA,348,"closed permanently",0,1,1
"roys","yes",1992-11-18,17,"November 1992",6,350,"answered 2nd interview",17,1,1
"roys","yes",1992-11-17,16,"November 1992",6,351,"answered 2nd interview",24,1,1
"roys","yes",1992-12-23,NA,"November 1992",NA,352,"closed due to Mall fire",NA,1,1
"roys","yes",1992-12-14,16,"November 1992",6,353,"answered 2nd interview",NA,1,1
"wendys","no",1992-11-13,11.5,"November 1992",10.5,355,"answered 2nd interview",13.5,1,1
"bk","yes",1992-11-16,16,"November 1992",7,359,"answered 2nd interview",17,1,1
"bk","no",1992-11-16,16,"November 1992",7,360,"answered 2nd interview",28,1,1
"bk","no",1992-11-07,16,"November 1992",7,361,"answered 2nd interview",21.5,1,1
"kfc","no",1992-11-12,12.5,"November 1992",10.5,362,"answered 2nd interview",30,1,1
"kfc","no",1992-11-12,12.5,"November 1992",10.5,363,"answered 2nd interview",19.5,1,1
"kfc","no",1992-11-14,12.5,"November 1992",10.5,364,"answered 2nd interview",20,1,1
"roys","no",1992-11-18,11.5,"November 1992",10.5,366,"answered 2nd interview",14.5,1,1
"wendys","no",1992-11-13,11.5,"November 1992",10.5,368,"answered 2nd interview",14.5,1,1
"bk","yes",1992-12-09,NA,"November 1992",NA,369,"closed permanently",0,1,1
"bk","no",1992-11-07,16,"November 1992",7,370,"answered 2nd interview",31.5,1,1
"bk","no",1992-11-17,14,"November 1992",8,376,"answered 2nd interview",11.5,1,1
"bk","no",1992-11-07,14,"November 1992",8,377,"answered 2nd interview",20,1,1
"bk","no",1992-11-17,16,"November 1992",7,379,"answered 2nd interview",34,1,1
"bk","no",1992-11-07,16,"November 1992",7,380,"answered 2nd interview",25,1,1
"bk","no",1992-11-18,16,"November 1992",7,383,"answered 2nd interview",10,1,1
"bk","no",1992-11-07,16,"November 1992",7,384,"answered 2nd interview",18,1,1
"bk","no",1992-12-09,17,"November 1992",7,385,"answered 2nd interview",25,1,1
"bk","no",1992-11-16,17,"November 1992",7,386,"answered 2nd interview",23,1,1
"kfc","no",1992-11-14,10,"November 1992",11,391,"answered 2nd interview",17.5,1,1
"kfc","yes",1992-11-17,11,"November 1992",11,393,"answered 2nd interview",23,1,1
"roys","yes",1992-11-11,16,"November 1992",7,396,"answered 2nd interview",26,1,1
"roys","yes",1992-12-28,17,"November 1992",6,397,"answered 2nd interview",16.5,1,1
"roys","yes",1992-12-10,17,"November 1992",6,398,"answered 2nd interview",35.5,1,1
"roys","yes",1992-11-11,16,"November 1992",7,399,"answered 2nd interview",31,1,1
"roys","yes",1992-11-11,16,"November 1992",7,400,"answered 2nd interview",23,1,1
"roys","no",1992-11-17,16,"November 1992",6,401,"answered 2nd interview",22.5,1,1
"roys","yes",1992-11-16,15,"November 1992",7,402,"answered 2nd interview",21.5,1,1
"roys","yes",1992-11-16,16,"November 1992",7,405,"answered 2nd interview",12,1,1
"bk","no",1992-11-16,16,"November 1992",7,410,"answered 2nd interview",20.5,1,1
"bk","no",1992-11-16,16,"November 1992",7,411,"answered 2nd interview",25,1,1
"kfc","no",1992-11-12,11,"November 1992",11,412,"answered 2nd interview",8.5,1,1
"bk","no",1992-11-07,17,"November 1992",7,413,"answered 2nd interview",13,1,1
"bk","no",1992-11-16,16,"November 1992",7,414,"answered 2nd interview",21.5,1,1
"bk","no",1992-11-07,16,"November 1992",7,415,"answered 2nd interview",23,1,1
"bk","yes",1992-11-09,16,"November 1992",7,417,"answered 2nd interview",25.5,1,1
"bk","no",1992-11-09,16,"November 1992",7,418,"answered 2nd interview",21.5,1,1
"kfc","yes",1992-12-15,11,"November 1992",11,419,"answered 2nd interview",9.5,1,1
"kfc","yes",1992-11-17,13,"November 1992",10.5,421,"answered 2nd interview",36.5,1,1
"kfc","no",1992-11-14,11,"November 1992",11,422,"answered 2nd interview",16,1,1
"kfc","yes",1992-11-14,11,"November 1992",11,423,"answered 2nd interview",23.75,1,1
"kfc","yes",1992-11-17,14,"November 1992",11,424,"answered 2nd interview",17.5,1,1
"roys","yes",1992-11-11,18,"November 1992",6,426,"answered 2nd interview",20.5,1,1
"wendys","no",1992-12-17,12.5,"November 1992",10.5,427,"answered 2nd interview",20.5,1,1
"wendys","no",1992-11-13,12.5,"November 1992",10.5,428,"answered 2nd interview",25,1,1
