"koddz","prywatna","zam_miasto","zam_wies","zam_liczba","wiek_m","wiek_o","edu_o","edu_m","prestiz_m","prestiz_o","dochod_g","bieda","wynik"
0602013C,0,1,0,1,46,51,0,0,53.5,48.69,87500.5,0,53.24
0602018C,0,1,0,1,38,41,0,0,72.1,64.89,150000.5,0,56.87
0602021C,0,1,0,1,48,44,0,0,62.87,48.69,150000.5,0,64.159
0602022C,0,1,0,1,41,41,0,0,59,72.1,150000.5,0,64.245
0602023C,0,0,1,1,41,42,0,0,53.5,57.83,87500.5,0,51.394
0602024C,0,1,0,1,41,36,0,0,62.87,38.18,87500.5,0,70.051
0605011C,0,0,1,1,33,34,1,1,63.43,33.42,32500.5,0,51.171
0605018C,0,1,0,1,42,47,0,0,38.18,37.67,27500.5,0,64.437
0605019C,0,1,0,2,40,44,0,0,35.78,39.2,62500.5,0,55.792
0605020C,0,1,0,1,38,36,0,0,34.95,53.5,62500.5,0,66.277
0606001C,0,0,0,1,44,44,0,0,61.56,33.42,62500.5,0,60.913
0606002C,0,0,0,1,40,40,0,0,63.43,48.69,87500.5,0,66.521
0606007C,0,0,1,1,46,41,0,0,63.43,62.87,87500.5,0,49.022
0606009C,0,0,1,1,41,47,0,1,38.18,33.42,200001,0,44.839
0606010C,0,1,0,1,44,45,1,0,38.18,35.78,45000.5,0,63.796
0606011C,0,1,0,2,45,52,1,1,38.18,39.18,62500.5,0,46.523
0606013C,0,1,0,1,41,41,0,0,77.5,77.5,150000.5,0,83.861
0606014C,0,1,0,1,40,43,0,0,33.42,77.5,150000.5,0,55.95
0606016C,0,1,0,1,40,42,0,0,63.43,35.78,150000.5,0,68.899
0606020C,0,1,0,1,42,59,0,0,63.43,53.5,62500.5,0,67.881
0606021C,0,1,0,1,36,44,1,1,38.18,53.5,87500.5,0,45.795
0609003C,0,0,0,1,41,45,0,0,53.5,35.78,45000.5,0,55.637
0609004C,0,0,0,1,43,49,0,0,59,53.5,62500.5,0,67.278
0609008C,0,1,0,1,41,51,0,0,52.54,35.78,87500.5,0,62.977
0609009C,0,1,0,1,45,46,0,0,35.78,52.54,87500.5,0,72.227
0609010C,0,1,0,1,36,37,0,0,57.83,39.18,87500.5,0,64.842
0609011C,0,0,0,1,45,48,0,0,53.5,48.69,62500.5,0,58.053
0609014C,0,1,0,1,47,49,0,0,63.43,62.87,87500.5,0,60.467
0609018C,0,1,0,1,39,38,1,0,35.78,39.2,62500.5,0,57.991
0614019C,0,0,0,1,31,42,1,1,39.2,33.42,17500.5,1,28.551
0618001C,0,1,0,1,46,48,0,0,38.18,35.78,87500.5,0,53.762
0618004C,0,1,0,1,41,44,0,0,35.78,62.87,150000.5,0,62.394
0618023C,0,1,0,1,45,47,0,0,53.5,61.56,62500.5,0,60.446
0619001C,0,1,0,1,26,33,1,1,53.5,38.18,62500.5,0,48.841
0619013C,0,1,0,1,35,35,1,1,33.42,39.18,45000.5,0,48.557
0619018C,0,1,0,1,31,33,0,0,38.18,35.78,62500.5,0,42.801
0619020C,0,1,0,1,35,35,1,1,38.18,33.42,62500.5,0,50.989
0621003C,0,1,0,1,45,43,0,0,52.54,59,45000.5,0,65.422
0621004C,0,1,0,1,39,40,1,1,38.18,39.2,32500.5,0,34.158
0621005C,0,1,0,1,29,41,1,1,35.78,39.2,22500.5,1,51.663
0621006C,0,1,0,1,36,36,1,1,33.42,35.92,37500.5,0,53.541
0621007C,0,1,0,1,38,37,1,0,61.56,33.42,62500.5,0,52.491
0621008C,0,1,0,1,35,36,0,0,34.95,35.78,62500.5,0,50.762
0621010C,0,1,0,1,40,39,0,0,63.43,62.87,62500.5,0,60.187
0621013C,0,1,0,1,40,42,0,0,38.18,34.95,62500.5,0,56.501
0621014C,0,1,0,1,31,38,0,0,33.42,33.42,45000.5,0,57.027
0621015C,0,1,0,1,34,36,1,0,38.18,35.78,62500.5,0,54.861
0621017C,0,1,0,1,36,37,1,0,38.18,33.42,45000.5,0,49.233
0621018C,0,1,0,1,39,39,0,0,38.18,34.95,62500.5,0,65.355
0621020C,0,1,0,1,27,32,1,0,34.95,39.2,62500.5,0,56.57
0621023C,0,1,0,1,38,37,1,0,38.18,53.5,87500.5,0,56.188
0621024C,0,1,0,2,30,32,1,0,34.95,39.18,37500.5,0,26.039
0621025C,0,1,0,1,36,36,1,1,33.42,35.92,37500.5,0,50.931
0622007C,0,1,0,1,42,43,0,0,63.43,37.67,45000.5,0,59.599
0622010C,0,0,1,1,33,31,0,0,38.18,37.67,32500.5,0,56.879
0622013C,0,1,0,2,37,33,0,0,34.95,34.95,62500.5,0,52.917
0622015C,0,1,0,1,32,38,0,0,38.18,35.78,87500.5,0,60.454
0623005C,0,1,0,1,37,46,1,0,53.5,35.78,62500.5,0,62.347
0623021C,0,1,0,1,34,53,0,1,34.95,39.2,17500.5,1,54.801
0625002C,0,1,0,1,37,36,0,0,53.5,53.5,150000.5,0,56.883
0625005C,0,1,0,1,36,38,1,1,35.78,53.5,62500.5,0,55.414
0625006C,0,1,0,1,37,37,0,0,53.5,35.92,87500.5,0,43.041
0625008C,0,1,0,1,44,52,1,0,33.42,33.42,62500.5,0,56.883
0625010C,0,0,1,1,41,42,0,0,72.1,59,62500.5,0,38.591
0625013C,0,1,0,1,41,53,0,0,59,33.42,62500.5,0,51.269
0625015C,0,1,0,1,38,40,0,0,61.56,53.5,150000.5,0,62.438
0625016C,0,0,1,1,40,40,1,1,52.54,35.92,62500.5,0,55.051
0625019C,0,0,1,1,28,25,1,1,57.83,33.42,12500.5,1,37.352
0625021C,0,1,0,1,37,39,0,0,53.5,34.95,150000.5,0,61.675
0626002C,0,1,0,1,38,33,1,0,53.5,35.92,45000.5,0,54.513
0626004C,0,1,0,1,47,52,0,0,61.56,59,87500.5,0,42.889
0626014C,0,1,0,2,33,29,1,1,35.63,39.2,62500.5,0,53.649
0626020C,0,1,0,1,34,41,0,0,35.78,63.43,87500.5,0,66.55
0626022C,0,1,0,1,36,35,1,0,61.56,33.42,45000.5,0,45.724
0627001C,0,1,0,1,36,36,1,1,29.6,35.78,62500.5,0,55.072
0627003C,0,0,1,1,43,47,0,0,53.5,35.92,62500.5,0,70.981
0627004C,0,1,0,1,33,34,0,0,38.18,53.5,37500.5,0,63.296
0627007C,0,1,0,1,43,45,1,1,38.18,53.5,62500.5,0,62.599
0627013C,0,0,1,1,31,27,0,1,57.83,33.42,22500.5,1,52.896
0627014C,0,0,1,1,39,41,1,1,38.18,39.2,27500.5,0,44.604
0627019C,0,1,0,1,36,36,1,1,34.95,29.6,17500.5,1,25.655
0627024C,0,0,1,1,32,34,1,0,61.56,34.95,37500.5,0,48.459
0629006C,0,0,1,1,35,48,1,1,38.18,39.18,27500.5,0,47.216
0629007C,0,1,0,1,30,33,0,0,57.83,39.18,62500.5,0,72.654
0629012C,0,0,1,1,43,39,1,1,57.83,34.95,17500.5,1,52.496
0629014C,0,1,0,1,44,49,0,0,63.43,63.43,62500.5,0,68.15
0629017C,0,1,0,1,42,43,0,0,61.56,35.78,87500.5,0,56.146
0629022C,0,1,0,1,32,36,0,0,38.18,35.92,27500.5,0,52.393
0629023C,0,0,1,1,34,34,0,1,38.18,39.18,45000.5,0,52.829
0630001C,0,1,0,1,44,42,0,0,64.89,53.5,62500.5,0,72.31
0630002C,0,1,0,1,40,37,0,0,38.18,38.18,150000.5,0,69.051
0630004C,0,1,0,1,48,50,0,0,57.83,35.78,87500.5,0,51.359
0630005C,0,1,0,1,45,44,0,0,35.78,35.78,150000.5,0,58.404
0630007C,0,1,0,1,40,36,0,0,38.18,33.42,62500.5,0,52.393
0630008C,0,1,0,1,45,43,0,0,63.43,53.5,87500.5,0,59.591
0630009C,0,1,0,1,38,40,0,0,38.18,39.18,27500.5,0,53.142
0630010C,0,0,1,1,33,38,0,0,61.56,53.5,62500.5,0,44.645
0630011C,0,1,0,1,40,47,0,0,61.56,35.78,150000.5,0,69.425
0630014C,0,1,0,1,39,46,0,0,53.5,35.63,62500.5,0,61.529
0630016C,0,1,0,1,43,47,1,0,34.95,39.18,87500.5,0,68.407
0630017C,0,0,1,1,28,29,1,0,34.95,34.95,17500.5,1,47.512
0630018C,0,0,1,1,36,50,1,1,34.95,39.18,45000.5,0,55.833
0630019C,0,0,1,2,31,32,0,0,57.83,33.42,45000.5,0,53.908
0630024C,0,0,1,2,29,30,0,0,35.63,34.95,27500.5,0,45.24
0631006C,0,0,1,1,28,30,1,1,33.42,29.6,5000,1,60.615
0632003C,0,1,0,1,40,38,1,1,38.18,34.95,62500.5,0,54.571
0632006C,0,0,1,1,41,51,0,1,57.83,34.95,37500.5,0,66.515
0632007C,0,1,0,1,30,42,1,1,34.95,35.63,5000,1,55.354
0632011C,0,1,0,1,38,39,1,0,63.43,39.18,7500.5,1,49.229
0632013C,0,1,0,2,41,43,1,1,59,39.2,22500.5,1,66.652
0633004C,0,0,1,1,31,33,1,1,63.43,38.18,12500.5,1,38.12
0633005C,0,0,1,2,38,35,1,1,34.95,35.92,5000,1,33.939
0633008C,0,0,1,1,33,34,1,1,34.95,33.42,27500.5,0,50.576
0633013C,0,0,1,1,34,34,1,1,33.42,35.92,12500.5,1,32.957
0633014C,0,0,1,1,35,42,1,1,33.42,35.92,37500.5,0,48.459
0635006C,0,0,1,1,45,46,0,0,53.5,53.5,150000.5,0,63.717
0635007C,0,1,0,1,46,45,0,0,59,59,150000.5,0,69.066
0635009C,0,1,0,1,40,42,0,0,52.54,34.95,150000.5,0,71.279
0635010C,0,1,0,1,45,45,0,0,59,59,150000.5,0,58.174
0635011C,0,1,0,1,39,42,0,0,35.78,53.5,87500.5,0,53.816
0635014C,0,1,0,1,45,47,0,0,64.89,64.89,150000.5,0,54.751
0635015C,0,1,0,2,44,42,0,0,53.5,64.89,150000.5,0,55.627
0635016C,1,1,0,2,36,36,0,0,52.54,52.54,150000.5,0,54.513
0635019C,0,1,0,1,40,38,0,0,53.5,53.5,62500.5,0,61.537
0635021C,0,1,0,3,43,40,0,0,38.18,59,87500.5,0,61.387
0635026C,0,1,0,3,43,40,0,0,38.18,59,87500.5,0,54.455
0638012C,0,1,0,1,35,37,1,1,38.18,39.2,150000.5,0,51.705
0639001C,0,1,0,1,33,37,1,0,35.78,29.6,62500.5,0,39.745
0639003C,0,0,1,1,44,51,1,1,35.78,35.92,37500.5,0,36.453
0639009C,0,1,0,1,38,47,0,0,61.56,35.78,150000.5,0,54.811
0639016C,0,1,0,1,42,42,0,0,61.56,53.5,150000.5,0,42.038
0639024C,0,1,0,1,27,36,0,1,63.43,39.2,62500.5,0,42.382
0643003C,0,1,0,1,41,41,0,0,38.18,64.89,62500.5,0,49.354
0643005C,0,1,0,1,43,47,0,0,63.43,59,150000.5,0,55.884
0643008C,0,1,0,1,45,49,0,0,35.78,35.78,150000.5,0,64.55
0644005C,0,0,1,1,33,40,1,0,38.18,35.92,37500.5,0,33.42
0644012C,0,0,1,1,38,38,0,0,53.5,39.2,87500.5,0,46.041
0645008C,0,0,1,1,46,46,1,1,34.95,34.95,45000.5,0,54.344
0645010C,0,1,0,1,37,43,1,0,38.18,35.78,32500.5,0,37.454
0645016C,0,0,1,1,32,39,1,1,34.95,29.6,22500.5,1,57.384
0645017C,0,0,1,1,42,36,1,1,33.42,37.67,87500.5,0,40.183
0646007C,0,1,0,1,32,40,0,0,38.18,39.2,62500.5,0,66.296
0646008C,0,1,0,1,34,34,1,1,53.5,39.18,87500.5,0,53.117
0646012C,0,1,0,1,45,45,0,0,34.95,34.95,87500.5,0,43.694
0646013C,0,1,0,1,32,36,0,0,34.95,53.5,87500.5,0,58.982
0646022C,0,1,0,1,44,40,0,0,61.56,62.87,87500.5,0,59.612
0647002C,0,0,0,1,36,42,0,1,35.78,53.5,37500.5,0,58.969
0647003C,0,0,0,1,35,40,0,1,34.95,48.69,62500.5,0,55.984
0647004C,0,0,1,1,28,28,0,0,61.56,33.42,62500.5,0,56.307
0647008C,0,1,0,1,48,47,0,0,53.5,53.5,87500.5,0,63.127
0647016C,0,1,0,1,40,42,0,0,63.43,35.78,150000.5,0,56.103
0647023C,0,1,0,1,41,40,1,1,38.18,35.92,62500.5,0,52.27
0649012C,0,0,1,1,31,31,0,0,38.18,38.18,62500.5,0,54.306
0649015C,0,0,0,1,36,41,1,1,35.78,39.18,27500.5,0,38.024
0650010C,0,1,0,1,50,55,1,0,59,29.6,37500.5,0,37.358
0650012C,0,1,0,2,37,34,0,0,63.43,34.95,62500.5,0,58.854
0650015C,0,0,1,1,36,36,1,0,38.18,33.42,62500.5,0,52.554
0650019C,0,0,1,1,37,42,1,1,34.95,33.42,27500.5,0,40.5
0651003C,0,1,0,1,38,44,0,0,38.18,53.5,62500.5,0,45.718
0651005C,0,1,0,1,27,31,0,0,38.18,38.18,37500.5,0,59.868
0651006C,0,1,0,1,40,33,1,0,35.78,33.42,37500.5,0,52.617
0651009C,0,1,0,1,37,40,0,0,62.87,61.56,62500.5,0,52.725
0651013C,0,1,0,1,41,48,0,0,63.43,38.18,87500.5,0,49.25
0651015C,0,1,0,1,32,31,0,0,38.18,39.18,62500.5,0,61.266
0651016C,0,1,0,1,35,36,1,1,38.18,39.2,62500.5,0,65.956
0651020C,0,1,0,1,40,43,0,0,63.43,48.69,150000.5,0,60.068
0651022C,0,1,0,1,43,46,0,0,53.5,48.69,62500.5,0,57.181
0651023C,0,1,0,2,33,39,1,1,38.18,35.78,62500.5,0,47.57
0651024C,0,1,0,1,35,32,0,1,38.18,53.5,62500.5,0,57.863
0652001C,0,0,0,2,45,46,0,0,61.56,33.42,87500.5,0,47.535
0652004C,0,1,0,1,37,40,0,0,59,35.78,87500.5,0,59.564
0652005C,0,1,0,1,45,48,0,0,63.43,53.5,62500.5,0,50.843
0652006C,0,1,0,1,30,32,0,0,35.78,53.5,62500.5,0,56.169
0652007C,0,1,0,1,30,35,0,0,38.18,53.5,150000.5,0,58.986
0652013C,0,0,0,1,43,42,0,1,38.18,64.89,87500.5,0,48.136
0652014C,0,1,0,1,39,43,0,0,53.5,33.42,87500.5,0,52.393
0652015C,0,0,0,2,31,34,1,0,34.95,53.5,45000.5,0,70.706
0652018C,0,1,0,1,41,48,0,0,38.18,39.18,45000.5,0,64.898
0652022C,0,1,0,1,36,37,0,0,61.56,53.5,45000.5,0,65.236
0653003C,0,0,1,2,32,34,0,0,34.95,33.42,32500.5,0,47.835
0653007C,0,0,1,1,32,38,1,1,34.95,35.92,45000.5,0,36.924
0653009C,0,0,1,1,44,43,1,0,33.42,53.5,45000.5,0,52.754
0653015C,0,0,1,2,26,35,1,1,33.42,35.78,32500.5,0,42.186
0653016C,0,0,1,1,30,29,1,1,34.95,39.2,62500.5,0,54.54
0653018C,0,0,1,1,43,36,1,1,34.95,34.95,17500.5,1,49.604
0653019C,0,0,1,1,36,34,1,1,35.78,35.92,22500.5,0,56.09
0653020C,0,0,1,1,30,35,1,0,61.56,35.92,45000.5,0,48.348
0653022C,0,0,1,1,38,38,1,0,35.78,35.92,17500.5,1,52.274
0654006C,0,0,1,1,43,49,0,0,53.5,38.18,62500.5,0,46.905
0654011C,0,0,1,1,44,45,1,1,34.95,39.18,12500.5,1,60.194
0654012C,0,0,1,1,35,36,1,1,34.95,35.63,45000.5,0,25.236
0654014C,0,1,0,1,36,39,1,1,38.18,39.18,37500.5,0,53.843
0654015C,0,1,0,1,39,33,1,1,38.18,37.67,27500.5,0,42.1
0654022C,0,0,1,1,35,38,0,0,57.83,35.92,22500.5,0,55.477
0659002C,0,1,0,1,34,30,1,1,33.42,35.92,62500.5,0,49.323
0659004C,0,0,1,1,30,38,1,0,34.95,38.18,62500.5,0,39.768
0659008C,0,1,0,1,36,26,1,1,34.95,33.42,12500.5,1,41.422
0659012C,0,0,1,1,37,37,0,0,38.18,48.69,37500.5,0,52.992
0659022C,0,0,1,1,48,52,1,0,61.56,35.78,45000.5,0,54.1
0660004C,0,0,1,1,34,36,0,1,34.95,34.95,62500.5,0,38.919
0661003C,0,1,0,1,39,39,0,1,38.18,64.89,45000.5,0,57.167
0661004C,0,0,0,1,39,48,0,0,35.78,35.78,87500.5,0,61.466
0661014C,0,0,0,1,41,41,0,1,33.42,62.87,62500.5,0,54.356
0661019C,0,1,0,1,32,35,1,0,38.18,35.92,62500.5,0,52.569
0661020C,0,0,0,1,33,30,1,1,33.42,38.18,27500.5,0,59.566
0662008C,0,1,0,1,40,44,1,0,53.5,39.18,87500.5,0,56.257
0662012C,0,1,0,1,36,43,0,0,34.95,38.18,62500.5,0,40.204
0662015C,0,1,0,1,36,38,0,0,35.78,53.5,87500.5,0,49.909
0662019C,0,1,0,1,40,42,0,0,38.18,53.5,200001,0,58.925
0662022C,0,1,0,1,40,44,1,1,38.18,39.18,45000.5,0,50.958
0665001C,0,0,0,1,40,40,0,0,61.56,38.18,87500.5,0,47.165
0665004C,0,1,0,1,41,51,0,0,61.56,53.5,45000.5,0,69.469
0665005C,0,1,0,1,37,39,0,0,63.43,35.78,62500.5,0,62.589
0665007C,0,1,0,1,39,44,0,0,63.43,34.95,62500.5,0,57.774
0665010C,0,1,0,1,40,51,0,0,61.56,72.1,62500.5,0,44.927
0665015C,0,1,0,1,43,46,0,1,38.18,34.95,87500.5,0,58.988
0665017C,0,1,0,1,50,51,0,0,63.43,35.78,87500.5,0,68.939
0665020C,0,1,0,1,49,42,0,0,61.56,53.5,87500.5,0,67.7
0665024C,0,1,0,1,48,53,0,0,63.43,39.18,87500.5,0,56.866
0665025C,0,0,0,1,40,40,0,0,61.56,38.18,87500.5,0,46.953
0665026C,0,1,0,1,41,51,0,0,61.56,53.5,45000.5,0,67.823
0665027C,0,1,0,1,43,46,0,1,38.18,34.95,87500.5,0,61.226
0666005C,0,0,1,1,41,37,0,0,38.18,48.69,62500.5,0,48.793
0666010C,0,1,0,1,29,30,1,1,38.18,39.18,27500.5,0,48.15
0666012C,0,1,0,1,33,33,0,0,38.18,38.18,62500.5,0,75.556
0666014C,0,1,0,2,37,46,0,1,34.95,35.92,37500.5,0,54.296
0666023C,0,0,0,1,42,42,0,0,38.18,34.95,62500.5,0,53.101
0667001C,0,0,0,1,44,43,0,0,34.95,53.5,32500.5,0,58.502
0667002C,0,1,0,1,46,47,0,0,63.43,53.5,62500.5,0,57.993
0667010C,0,1,0,1,43,43,0,0,35.78,59,87500.5,0,57.227
0667011C,0,1,0,1,36,37,1,0,38.18,39.2,62500.5,0,51.692
0667014C,0,1,0,1,44,51,0,0,52.54,62.87,87500.5,0,60.517
0667017C,0,1,0,1,45,43,1,1,53.5,39.2,45000.5,0,43.158
0667022C,0,1,0,1,37,38,1,1,34.95,39.2,45000.5,0,52.792
0667023C,0,1,0,1,37,42,0,1,35.78,53.5,87500.5,0,49.836
0668003C,1,1,0,1,39,41,1,0,38.18,39.18,62500.5,0,59.63
0668004C,1,1,0,1,43,45,0,1,38.18,39.2,200001,0,49.569
0668010C,1,1,0,1,45,49,0,0,38.18,53.5,150000.5,0,66.114
0668011C,1,1,0,1,37,39,1,1,35.78,39.2,22500.5,1,58.051
0668014C,1,1,0,1,38,39,0,0,63.43,53.5,87500.5,0,62.111
0668018C,1,1,0,1,43,45,0,0,63.43,63.43,62500.5,0,56.747
0669006C,0,1,0,1,46,54,1,1,34.95,35.92,37500.5,0,55.21
0669020C,0,0,0,1,50,54,0,1,38.18,34.95,45000.5,0,54.663
0671002C,0,1,0,1,41,40,0,1,35.78,35.92,45000.5,0,60.899
0671003C,1,1,0,1,45,45,0,0,38.18,35.78,150000.5,0,53.349
0671006C,0,1,0,2,39,39,0,0,61.56,53.5,150000.5,0,77.528
0671009C,1,1,0,1,36,37,0,0,48.69,35.78,87500.5,0,53.737
0671010C,1,1,0,1,41,45,0,0,53.5,34.95,87500.5,0,45.522
0671015C,1,0,0,1,34,40,0,0,53.5,35.78,37500.5,0,61.675
0671018C,1,1,0,1,41,45,0,0,63.43,53.5,45000.5,0,47.846
0678005C,0,1,0,1,37,35,0,0,38.18,38.18,62500.5,0,58.018
0678016C,0,0,0,1,29,33,1,1,38.18,39.2,27500.5,0,42.751
0678023C,0,1,0,1,39,40,1,0,61.56,33.42,62500.5,0,59.883
0680002C,0,1,0,1,38,46,0,0,63.43,35.78,87500.5,0,66.828
0680006C,0,1,0,1,44,44,1,1,53.5,53.5,150000.5,0,61.518
0680007C,0,1,0,1,37,36,0,0,35.78,48.69,87500.5,0,56.618
0680009C,0,1,0,1,36,36,1,1,35.78,35.92,87500.5,0,33.987
0680015C,0,0,0,1,30,34,1,0,35.78,38.18,17500.5,1,52.811
0680019C,0,0,0,1,46,47,1,0,35.78,39.18,45000.5,0,55.971
0680020C,0,0,1,2,30,33,0,1,38.18,35.92,87500.5,0,51.866
0680021C,0,1,0,1,35,36,0,0,38.18,53.5,87500.5,0,56.945
0680022C,0,1,0,1,34,36,0,0,53.5,48.69,150000.5,0,56.472
0682008C,0,1,0,2,32,33,1,0,38.18,37.67,37500.5,0,48.557
0683011C,0,0,1,1,34,33,0,0,38.18,39.18,45000.5,0,65.883
0684008C,0,0,0,1,40,40,1,0,38.18,39.18,87500.5,0,50.564
0684009C,0,1,0,1,41,42,0,0,63.43,52.54,62500.5,0,66.807
0684021C,0,0,0,1,32,34,0,0,38.18,39.18,32500.5,0,46.444
0685005C,0,0,0,1,38,44,0,0,38.18,39.18,150000.5,0,69.556
0685006C,0,1,0,1,44,44,0,0,52.54,35.92,150000.5,0,57.402
0685007C,0,1,0,1,36,39,0,0,34.95,35.78,87500.5,0,64.314
0685009C,0,1,0,1,39,42,0,0,62.87,35.63,87500.5,0,61.888
0685010C,0,1,0,1,44,45,0,0,53.5,59,150000.5,0,50.77
0685016C,0,1,0,1,37,45,1,0,38.18,39.2,87500.5,0,59.109
0685022C,0,1,0,1,48,53,1,0,63.43,33.42,62500.5,0,61.512
0685024C,0,0,0,1,39,39,0,0,34.95,35.92,200001,0,62.342
0686004C,0,0,1,1,47,67,1,0,57.83,39.2,27500.5,0,57.442
0686020C,0,0,0,1,41,37,0,0,34.95,34.95,27500.5,0,56.993
0687001C,0,1,0,1,39,40,0,0,38.18,35.78,150000.5,0,52.533
0687005C,0,1,0,1,41,40,0,0,38.18,53.5,62500.5,0,65.359
0687008C,0,1,0,1,44,55,0,0,35.78,35.78,150000.5,0,67.307
0687010C,0,1,0,1,32,37,0,1,34.95,53.5,62500.5,0,49.736
0687015C,0,1,0,1,42,46,0,0,53.5,53.5,150000.5,0,67.501
0687016C,0,1,0,1,39,41,0,0,53.5,53.5,150000.5,0,73.745
0687017C,0,1,0,1,50,50,0,0,38.18,48.69,87500.5,0,57.089
0687020C,0,0,0,1,39,39,0,0,38.18,53.5,45000.5,0,61.979
0687021C,0,1,0,1,50,55,0,0,38.18,53.5,62500.5,0,72.441
0687024C,0,1,0,1,37,36,0,0,59,35.78,150000.5,0,52.973
0691009C,0,0,0,1,34,33,1,0,34.95,39.18,37500.5,0,50.27
0691017C,0,0,0,1,29,34,0,0,35.78,35.78,45000.5,0,57.175
0691021C,0,0,0,2,30,34,1,1,57.83,33.42,37500.5,0,43.427
0691024C,0,0,0,1,29,28,1,1,34.95,35.63,12500.5,1,60.411
0695006C,0,1,0,1,38,40,1,0,38.18,53.5,200001,0,55.064
0695019C,0,1,0,1,26,30,1,0,38.18,53.5,37500.5,0,38.437
0695020C,0,0,0,1,33,37,1,1,34.95,34.95,17500.5,1,54.308
0696020C,0,0,1,1,30,33,0,0,53.5,34.95,62500.5,0,51.955
0697020C,0,1,0,1,46,45,0,1,52.54,48.69,87500.5,0,52.085
0698002C,0,0,0,1,37,45,0,0,52.54,48.69,87500.5,0,70.362
0698008C,0,1,0,1,39,37,1,0,38.18,39.18,37500.5,0,58.183
0698011C,0,1,0,1,28,38,1,1,38.18,35.78,27500.5,0,50.699
0698017C,0,1,0,1,33,33,0,1,38.18,52.54,62500.5,0,64.022
0698018C,0,0,0,1,41,41,0,0,34.95,39.2,22500.5,0,55.335
0698024C,0,1,0,1,43,39,0,0,52.54,39.18,87500.5,0,46.076
0699007C,0,0,1,1,37,39,0,0,53.5,48.69,150000.5,0,67.716
0700010C,0,0,0,1,44,47,1,1,33.42,34.95,37500.5,0,31.123
0700015C,0,0,0,1,44,55,1,0,33.42,34.95,27500.5,0,65.67
0700017C,0,1,0,1,36,38,0,0,35.78,35.78,62500.5,0,52.748
0700020C,0,1,0,1,31,39,0,1,38.18,53.5,45000.5,0,50.902
0704017C,0,0,0,1,35,39,0,0,34.95,35.92,22500.5,1,50.76
0705002C,0,0,0,1,33,33,1,1,34.95,39.2,32500.5,0,52.537
0705009C,0,0,0,1,46,50,1,0,39.18,38.18,12500.5,1,55.865
0705010C,0,0,0,1,55,61,0,0,59,59,22500.5,0,48.123
0705019C,0,0,0,1,38,41,0,0,38.18,33.42,32500.5,0,56.937
0706002C,0,0,0,1,31,33,0,1,35.78,34.95,37500.5,0,47.245
0706003C,0,0,0,1,41,42,1,1,34.95,39.18,12500.5,1,45.061
0706006C,0,0,0,1,49,50,1,1,35.78,39.2,22500.5,0,44.912
0706010C,0,0,0,1,38,41,0,0,33.42,34.95,12500.5,1,39.34
0706013C,0,0,0,1,34,42,1,1,59,39.2,17500.5,1,57.006
0706016C,0,1,0,1,32,29,0,0,38.18,34.95,37500.5,0,65.853
0706019C,0,0,0,1,31,32,1,1,38.18,29.6,22500.5,1,60.769
0706025C,0,0,0,1,34,42,1,1,59,39.2,17500.5,1,52.099
0707003C,0,0,0,1,42,46,0,0,38.18,38.18,27500.5,0,59.472
0707007C,0,0,0,1,32,43,0,0,38.18,35.78,62500.5,0,52.385
0707014C,0,0,0,1,39,46,0,0,34.95,35.78,62500.5,0,51.907
0707015C,0,0,0,1,39,38,0,1,53.5,77.5,62500.5,0,64.904
0707017C,0,0,0,1,45,48,0,0,63.43,35.78,27500.5,0,52.377
0707018C,0,0,0,1,40,37,0,0,38.18,52.54,62500.5,0,38.458
0707020C,0,0,0,1,37,37,0,0,59,64.89,87500.5,0,40.221
0708004C,0,1,0,2,28,36,1,1,38.18,39.2,22500.5,0,34.719
0710007C,0,0,0,1,35,38,1,1,34.95,39.2,17500.5,1,45.152
0710009C,0,0,0,1,42,36,1,1,38.18,39.2,45000.5,0,36.958
0710015C,0,0,0,1,40,41,1,1,34.95,39.18,5000,1,59.236
0711006C,1,0,1,1,34,33,1,0,38.18,53.5,62500.5,0,54.984
0712012C,0,0,0,1,37,33,1,1,35.78,35.78,17500.5,1,60.529
0712013C,0,1,0,1,53,46,1,0,38.18,34.95,27500.5,0,51.01
0712019C,0,0,1,1,31,30,1,0,53.5,29.6,37500.5,0,53.879
0712021C,0,0,0,1,37,35,0,1,38.18,53.5,37500.5,0,49.024
0712023C,0,1,0,1,44,35,0,0,53.5,34.95,32500.5,0,44.501
0712024C,0,0,0,1,39,44,1,0,38.18,35.92,27500.5,0,45.273
0712025C,0,0,1,1,31,30,1,0,53.5,29.6,37500.5,0,43.072
0713002C,0,0,0,1,45,51,1,1,34.95,38.18,45000.5,0,49.54
0717001C,0,0,0,1,50,53,0,1,53.5,77.5,150000.5,0,59.251
0717002C,0,0,0,1,39,48,0,0,62.87,77.5,150000.5,0,71.68
0717006C,0,0,0,2,32,34,1,0,34.95,34.95,62500.5,0,62.916
0723001C,1,0,0,1,39,44,0,0,34.95,34.95,45000.5,0,49.062
0723002C,1,0,0,1,36,38,0,0,35.78,53.5,87500.5,0,51.104
0723014C,1,1,0,1,45,46,1,1,34.95,35.78,62500.5,0,48.467
0723016C,1,1,0,1,33,36,0,0,61.56,62.87,87500.5,0,60.29
0723017C,1,1,0,1,39,47,0,0,53.5,52.54,87500.5,0,54.882
0723020C,1,1,0,2,34,37,0,0,38.18,53.5,37500.5,0,56.858
